# This document stores information about OSRS items that are
# not directly extractable from the OSRS Wiki. The purpose of
# the document is to aid item metadata extraction by normalizing
# item names
#
# The structure of the file is:
# itemID|itemName|normalizedName|statusCode
# 1) itemID is directly from the OSRS client cache
# 2) itemName is directly from the OSRS client cache
# 3) nomalizedName is the itemName normalized for the OSRS Wiki
# 4) statusCode documents specific item scenarios
#
# The specified statusCodes are:
# 0: no issue, normalized name used for direct Wiki query
# 1: invalid item (item has no name, or Null name)
# 2: unobtainable item (items that are no longer in game)
# 3: unusable item (things like board game pieces, puzzle box pieces)
# 4: item is not really an item (usually an item ID to link to an icon)
# 5: item has no dedicated, or related, page on OSRS wiki
# 6: equipable item bonuses extraction error
#
19|Holy grail|Holy grail (item)|0
428|Priest gown|Priest gown (bottom)|0
429|Priest gown|Priest gown (bottom)|0
432|Chest key|Chest key (Pirate's Treasure)|0
468|Broken pickaxe|Broken pickaxe (bronze)|2
469|Broken pickaxe|Broken pickaxe (bronze)|2
470|Broken pickaxe|Broken pickaxe (iron)|2
471|Broken pickaxe|Broken pickaxe (iron)|2
472|Broken pickaxe|Broken pickaxe (steel)|2
473|Broken pickaxe|Broken pickaxe (steel)|2
474|Broken pickaxe|Broken pickaxe (mithril)|2
475|Broken pickaxe|Broken pickaxe (mithril)|2
476|Broken pickaxe|Broken pickaxe (adamant)|2
477|Broken pickaxe|Broken pickaxe (adamant)|2
478|Broken pickaxe|Broken pickaxe (rune)|2
479|Broken pickaxe|Broken pickaxe (rune)|2
494|Broken axe|Broken axe|2
495|Broken axe|Broken axe|2
496|Broken axe|Broken axe|2
497|Broken axe|Broken axe|2
498|Broken axe|Broken axe|2
499|Broken axe|Broken axe|2
500|Broken axe|Broken axe|2
501|Broken axe|Broken axe|2
502|Broken axe|Broken axe|2
503|Broken axe|Broken axe|2
504|Broken axe|Broken axe|2
505|Broken axe|Broken axe|2
506|Broken axe|Broken axe|2
507|Broken axe|Broken axe|2
508|Bronze axe head|Bronze axe head|5
509|Bronze axe head|Bronze axe head|5
510|Iron axe head|Iron axe headd|5
511|Iron axe head|Iron axe head|5
512|Steel axe head|Steel axe head|5
513|Steel axe head|Steel axe head|5
514|Black axe head|Black axe head|5
515|Black axe head|Black axe head|5
516|Mithril axe head|Mithril axe head|5
517|Mithril axe head|Mithril axe head|5
518|Adamant axe head|Adamant axe head|5
519|Adamant axe head|Adamant axe head|5
520|Rune axe head|Rune axe head|5
521|Rune axe head|Rune axe head|5
594|Lit torch|Torch|0
596|Unlit torch|Torch|0
597|Unlit torch|Torch|0
605|Bone key|Bone key (Shilo Village)|0
700|Chemical powder|None|5
702|Unidentified liquid|None|5
709|Chest key|Chest key (Digsite)|0
713|Clue scroll|Clue scroll|6
755|Message|Message (Romeo & Juliet)|0
757|Book|Book (Shield of Arrav)|0
758|Phoenix hq key|Weapon store key|0
762|Falador shield|Falador shield 3|0
769|Certificate|Certificate (Shield of Arrav)|0
770|Ardougne cloak|Ardougne cloak 3|0
782|Family crest|Family crest (item)|0
812|Bronze dart(p)|Bronze dart|0
813|Iron dart(p)|Iron dart|0
814|Steel dart(p)|Steel dart|0
815|Mithril dart(p)|Mithril dart|0
816|Adamant dart(p)|Adamant dart|0
817|Rune dart(p)|Rune dart|0
818|Poisoned dart(p)|None|2
831|Bronze javelin(p)|Bronze javelin|0
832|Iron javelin(p)|Iron javelin|0
833|Steel javelin(p)|Steel javelin|0
834|Mithril javelin(p)|Mithril javelin|0
835|Adamant javelin(p)|Adamant javelin|0
836|Rune javelin(p)|Rune javelin|0
870|Bronze knife(p)|Bronze knife|0
871|Iron knife(p)|Iron knife|0
872|Steel knife(p)|Steel knife|0
873|Mithril knife(p)|Mithril knife|0
874|Black knife(p)|Black knife|0
875|Adamant knife(p)|Adamant knife|0
876|Rune knife(p)|Rune knife|0
878|Bronze bolts (p)|Bronze bolts|0
883|Bronze arrow(p)|Bronze arrow|0
885|Iron arrow(p)|Iron arrow|0
887|Steel arrow(p)|Steel arrow|0
889|Mithril arrow(p)|Mithril arrow|0
891|Adamant arrow(p)|Adamant arrow|0
893|Rune arrow(p)|Rune arrow|0
943|Worm|None|2
944|Worm|None|2
945|Throwing rope|None|2
964|Skull|Ghost's skull|0
965|Skull|Ghost's skull|0
968|Rock|Rock (limestone)|0
969|Rock|Rock (limestone)|0
977|Cooking pot|None|2
978|Cooking pot|None|2
980|Null|Null|1
1219|Iron dagger(p)|Iron dagger|0
1220|Iron dagger(p)|Iron dagger|0
1221|Bronze dagger(p)|Bronze dagger|0
1222|Bronze dagger(p)|Bronze dagger|0
1223|Steel dagger(p)|Steel dagger|0
1224|Steel dagger(p)|Steel dagger|0
1225|Mithril dagger(p)|Mithril dagger|0
1226|Mithril dagger(p)|Mithril dagger|0
1227|Adamant dagger(p)|Adamant dagger|0
1228|Adamant dagger(p)|Adamant dagger|0
1229|Rune dagger(p)|Rune dagger|0
1230|Rune dagger(p)|Rune dagger|0
1231|Dragon dagger(p)|Dragon dagger|0
1232|Dragon dagger(p)|Dragon dagger|0
1233|Black dagger(p)|Black dagger|0
1234|Black dagger(p)|Black dagger|0
1235|Poisoned dagger(p)|None|2
1236|Poisoned dagger(p)|None|2
1251|Bronze spear(p)|Bronze spear|0
1252|Bronze spear(p)|Bronze spear|0
1253|Iron spear(p)|Iron spear|0
1254|Iron spear(p)|Iron spear|0
1255|Steel spear(p)|Steel spear|0
1256|Steel spear(p)|Steel spear|0
1257|Mithril spear(p)|Mithril spear|0
1258|Mithril spear(p)|Mithril spear|0
1259|Adamant spear(p)|Adamant spear|0
1260|Adamant spear(p)|Adamant spear|0
1261|Rune spear(p)|Rune spear|0
1262|Rune spear(p)|Rune spear|0
1263|Dragon spear(p)|Dragon spear|0
1264|Dragon spear(p)|Dragon spear|0
1411|Farmer's fork|None|2
1412|Farmer's fork|None|2
1413|Halberd|None|2
1414|Halberd|None|2
1415|Warhammer|None|2
1416|Warhammer|None|2
1417|Javelin|None|2
1418|Javelin|None|2
1450|Null|None|1
1459|Null|None|1
1460|Null|None|1
1466|Sea slug|Sea slug (item)|0
1480|Rock|Rock (elemental)|0
1488|Paladin's badge|Paladin's badge (Sir Carl)|0
1489|Paladin's badge|Paladin's badge (Sir Harry)|0
1490|Paladin's badge|Paladin's badge (Sir Jerro)|0
1509|Book|Book (Plague City)|0
1535|Map part|Map part|0
1536|Map part|Map part|0
1537|Map part|Map part|0
1543|Key|Key (Melzar's Maze)|0
1544|Key|Key (Melzar's Maze)|0
1545|Key|Key (Melzar's Maze)|0
1546|Key|Key (Melzar's Maze)|0
1547|Key|Key (Melzar's Maze)|0
1548|Key|Key (Melzar's Maze)|0
1555|Pet kitten|Cat|0
1556|Pet kitten|Cat|0
1557|Pet kitten|Cat|0
1558|Pet kitten|Cat|0
1559|Pet kitten|Cat|0
1560|Pet kitten|Cat|0
1561|Pet cat|Cat|0
1562|Pet cat|Cat|0
1563|Pet cat|Cat|0
1564|Pet cat|Cat|0
1565|Pet cat|Cat|0
1566|Pet cat|Cat|0
1567|Pet cat|Cat|0
1568|Pet cat|Cat|0
1569|Pet cat|Cat|0
1570|Pet cat|Cat|0
1571|Pet cat|Cat|0
1572|Pet cat|Cat|0
1686|Karamja gloves|Karamja gloves 2|0
1706|Amulet of glory(1)|Amulet of glory|0
1707|Amulet of glory(1)|Amulet of glory|0
1708|Amulet of glory(2)|Amulet of glory|0
1709|Amulet of glory(2)|Amulet of glory|0
1710|Amulet of glory(3)|Amulet of glory|0
1711|Amulet of glory(3)|Amulet of glory|0
1712|Amulet of glory(4)|Amulet of glory|0
1713|Amulet of glory(4)|Amulet of glory|0
1806|Silver pot|Silver pot (Desert Treasure)|0
1807|Silver pot|Silver pot (Desert Treasure)|0
1823|Waterskin(4)|Waterskin|0
1824|Waterskin(4)|Waterskin|0
1825|Waterskin(3)|Waterskin|0
1826|Waterskin(3)|Waterskin|0
1827|Waterskin(2)|Waterskin|0
1828|Waterskin(2)|Waterskin|0
1829|Waterskin(1)|Waterskin|0
1830|Waterskin(1)|Waterskin|0
1831|Waterskin(0)|Waterskin|0
1832|Waterskin(0)|Waterskin|0
1848|Shantay disclaimer|None|2
1855|Rock|Rock (The Tourist Trap)|0
1893|2/3 cake|Cake|0
1894|2/3 cake|Cake|0
1895|Slice of cake|Cake|0
1896|Slice of cake|Cake|0
1899|2/3 chocolate cake|Chocolate cake|0
1900|2/3 chocolate cake|Chocolate cake|0
1901|Chocolate slice|Chocolate cake|0
1902|Chocolate slice|Chocolate cake|0
1940|Raw swamp paste|Swamp paste|0
1946|Flour|None|2
2042|Unfinished cocktail|None|5
2043|Unfinished cocktail|None|5
2044|Unfinished cocktail|None|5
2045|Unfinished cocktail|None|5
2046|Unfinished cocktail|None|5
2047|Unfinished cocktail|None|5
2050|Unfinished cocktail|None|5
2051|Unfinished cocktail|None|5
2052|Unfinished cocktail|None|5
2053|Unfinished cocktail|None|5
2056|Unfinished cocktail|None|5
2057|Unfinished cocktail|None|5
2058|Unfinished cocktail|None|5
2059|Unfinished cocktail|None|5
2060|Unfinished cocktail|None|5
2061|Unfinished cocktail|None|5
2062|Unfinished cocktail|None|5
2063|Unfinished cocktail|None|5
2066|Unfinished cocktail|None|5
2067|Unfinished cocktail|None|5
2068|Unfinished cocktail|None|5
2069|Unfinished cocktail|None|5
2070|Unfinished cocktail|None|5
2071|Unfinished cocktail|None|5
2072|Unfinished cocktail|None|5
2073|Unfinished cocktail|None|5
2076|Unfinished cocktail|None|5
2077|Unfinished cocktail|None|5
2078|Unfinished cocktail|None|5
2079|Unfinished cocktail|None|5
2082|Unfinished cocktail|None|5
2083|Unfinished cocktail|None|5
2086|Unfinished cocktail|None|5
2087|Unfinished cocktail|None|5
2088|Unfinished cocktail|None|5
2089|Unfinished cocktail|None|5
2090|Unfinished cocktail|None|5
2091|Unfinished cocktail|None|5
2094|Odd cocktail|None|5
2095|Odd cocktail|None|5
2096|Odd cocktail|None|5
2097|Odd cocktail|None|5
2098|Odd cocktail|None|5
2099|Odd cocktail|None|5
2100|Odd cocktail|None|5
2101|Odd cocktail|None|5
2154|Equa toad's legs|Equa toad's legs|5
2155|Equa toad's legs|Equa toad's legs|5
2156|Spicy toad's legs|Spicy toad's legs|5
2157|Spicy toad's legs|Spicy toad's legs|5
2158|Seasoned legs|Seasoned legs|5
2159|Seasoned legs|Seasoned legs|5
2160|Spicy worm|Spicy worm|5
2161|Spicy worm|Spicy worm|5
2173|Odd gnomebowl|Gnomeball|0
2174|Odd gnomebowl|Gnomeball|0
2179|Unfinished bowl|Unfinished bowl (chocolate bomb)|0
2180|Unfinished bowl|Unfinished bowl (chocolate bomb)|0
2181|Unfinished bowl|Unfinished bowl (chocolate bomb)|0
2182|Unfinished bowl|Unfinished bowl (chocolate bomb)|0
2183|Unfinished bowl|Unfinished bowl (chocolate bomb)|0
2184|Unfinished bowl|Unfinished bowl (chocolate bomb)|0
2189|Unfinished bowl|Unfinished bowl (worm hole)|0
2190|Unfinished bowl|Unfinished bowl (worm hole)|0
2193|Unfinished bowl|Unfinished bowl (veg ball)|0
2194|Unfinished bowl|Unfinished bowl (veg ball)|0
2197|Odd crunchies|Odd crunchies|5
2198|Odd crunchies|Odd crunchies|5
2207|Unfinished crunchy|Unfinished crunchy (chocchip)|0
2208|Unfinished crunchy|Unfinished crunchy (chocchip)|0
2211|Unfinished crunchy|Unfinished crunchy (worm)|0
2212|Unfinished crunchy|Unfinished crunchy (worm)|0
2215|Unfinished crunchy|Unfinished crunchy (toad)|0
2216|Unfinished crunchy|Unfinished crunchy (toad)|0
2245|Odd batta|Odd batta|5
2246|Odd batta|Odd batta|5
2251|Unfinished batta|Unfinished batta (worm)|0
2252|Unfinished batta|Unfinished batta (worm)|0
2257|Unfinished batta|Unfinished batta (worm)|0
2258|Unfinished batta|Unfinished batta (worm)|0
2261|Unfinished batta|Unfinished batta (fruit)|0
2262|Unfinished batta|Unfinished batta (fruit)|0
2263|Unfinished batta|Unfinished batta (fruit)|0
2264|Unfinished batta|Unfinished batta (fruit)|0
2265|Unfinished batta|Unfinished batta (fruit)|0
2266|Unfinished batta|Unfinished batta (fruit)|0
2267|Unfinished batta|Unfinished batta (fruit)|0
2268|Unfinished batta|Unfinished batta (fruit)|0
2269|Unfinished batta|Unfinished batta (fruit)|0
2270|Unfinished batta|Unfinished batta (fruit)|0
2271|Unfinished batta|Unfinished batta (fruit)|0
2272|Unfinished batta|Unfinished batta (fruit)|0
2273|Unfinished batta|Unfinished batta (fruit)|0
2274|Unfinished batta|Unfinished batta (fruit)|0
2275|Unfinished batta|Unfinished batta (fruit)|0
2276|Unfinished batta|Unfinished batta (fruit)|0
2279|Unfinished batta|Unfinished batta (vegetable)|0
2280|Unfinished batta|Unfinished batta (vegetable)|0
2291|1/2 plain pizza|Plain pizza|0
2292|1/2 plain pizza|Plain pizza|0
2295|1/2 meat pizza|Meat pizza|0
2296|1/2 meat pizza|Meat pizza|0
2299|1/2 anchovy pizza|Anchovy pizza|0
2300|1/2 anchovy pizza|Anchovy pizza|0
2303|1/2 pineapple pizza|Pineapple pizza|0
2304|1/2 pineapple pizza|Pineapple pizza|0
2331|Half a meat pie|Meat pie|0
2332|Half a meat pie|Meat pie|0
2333|Half a redberry pie|Redberry pie|0
2334|Half a redberry pie|Redberry pie|0
2335|Half an apple pie|Apple pie|0
2336|Half an apple pie|Apple pie|0
2339|Palm leaf|Palm leaf|5
2340|Palm leaf|Palm leaf|5
2380|Crystal|Crystal (Watchtower)|0
2381|Crystal|Crystal (Watchtower)|0
2382|Crystal|Crystal (Watchtower)|0
2383|Crystal|Crystal (Watchtower)|0
2399|Silverlight key|Silverlight key (Wizard Traiborn)|0
2400|Silverlight key|Silverlight key (Captain Rovin)|0
2401|Silverlight key|Silverlight key (Sir Prysin)|0
2404|Chest key|Chest key (Hazeel Cult)|0
2408|Diary|Diary (Witch's House)|0
2409|Door key|Door key (Witch's House)|0
2410|Magnet|Magnet (Witch's House)|0
2411|Key|Key (Witch's House)|0
2418|Bronze key|Bronze key (Prince Ali Rescue)|0
2428|Attack potion(4)|Attack potion|0
2429|Attack potion(4)|Attack potion|0
2430|Restore potion(4)|Restore potion|0
2431|Restore potion(4)|Restore potion|0
2432|Defence potion(4)|Defence potion|0
2433|Defence potion(4)|Defence potion|0
2434|Prayer potion(4)|Prayer potion|0
2435|Prayer potion(4)|Prayer potion|0
2436|Super attack(4)|Super attack|0
2437|Super attack(4)|Super attack|0
2438|Fishing potion(4)|Fishing potion|0
2439|Fishing potion(4)|Fishing potion|0
2440|Super strength(4)|Super strength|0
2441|Super strength(4)|Super strength|0
2442|Super defence(4)|Super defence|0
2443|Super defence(4)|Super defence|0
2444|Ranging potion(4)|Ranging potion|0
2445|Ranging potion(4)|Ranging potion|0
2446|Antipoison(4)|Antipoison|0
2447|Antipoison(4)|Antipoison|0
2448|Superantipoison(4)|Superantipoison|0
2449|Superantipoison(4)|Superantipoison|0
2450|Zamorak brew(4)|Zamorak brew|0
2451|Zamorak brew(4)|Zamorak brew|0
2452|Antifire potion(4)|Antifire potion|0
2453|Antifire potion(4)|Antifire potion|0
2454|Antifire potion(3)|Antifire potion|0
2455|Antifire potion(3)|Antifire potion|0
2456|Antifire potion(2)|Antifire potion|0
2457|Antifire potion(2)|Antifire potion|0
2458|Antifire potion(1)|Antifire potion|0
2459|Antifire potion(1)|Antifire potion|0
2479|Poison|Poison (item)|0
2529|Dead orb|None|5
2552|Ring of dueling(8)|Ring of dueling|0
2553|Ring of dueling(8)|Ring of dueling|0
2554|Ring of dueling(7)|Ring of dueling|0
2555|Ring of dueling(7)|Ring of dueling|0
2556|Ring of dueling(6)|Ring of dueling|0
2557|Ring of dueling(6)|Ring of dueling|0
2558|Ring of dueling(5)|Ring of dueling|0
2559|Ring of dueling(5)|Ring of dueling|0
2560|Ring of dueling(4)|Ring of dueling|0
2561|Ring of dueling(4)|Ring of dueling|0
2562|Ring of dueling(3)|Ring of dueling|0
2563|Ring of dueling(3)|Ring of dueling|0
2564|Ring of dueling(2)|Ring of dueling|0
2565|Ring of dueling(2)|Ring of dueling|0
2566|Ring of dueling(1)|Ring of dueling|0
2567|Ring of dueling(1)|Ring of dueling|0
2568|Ring of forging|Ring of forging|6
2570|Ring of life|Ring of life|6
2714|Casket (easy)|Reward casket (easy)|0
2715|Casket (easy)|Reward casket (easy)|0
2717|Casket (easy)|Reward casket (easy)|0
2718|Casket (easy)|Reward casket (easy)|0
2720|Casket (easy)|Reward casket (easy)|0
2721|Casket (easy)|Reward casket (easy)|0
2724|Casket (hard)|Reward casket (hard)|0
2726|Casket (hard)|Reward casket (hard)|0
2728|Casket (hard)|Reward casket (hard)|0
2730|Casket (hard)|Reward casket (hard)|0
2732|Casket (hard)|Reward casket (hard)|0
2734|Casket (hard)|Reward casket (hard)|0
2736|Casket (hard)|Reward casket (hard)|0
2738|Casket (hard)|Reward casket (hard)|0
2740|Casket (hard)|Reward casket (hard)|0
2742|Casket (hard)|Reward casket (hard)|0
2744|Casket (hard)|Reward casket (hard)|0
2746|Casket (hard)|Reward casket (hard)|0
2748|Casket (hard)|Reward casket (hard)|0
2749|None|None|1
2750|None|None|1
2751|None|None|1
2752|None|None|1
2753|None|None|1
2754|None|None|1
2755|None|None|1
2756|None|None|1
2757|None|None|1
2758|None|None|1
2759|None|None|1
2760|None|None|1
2761|None|None|1
2762|None|None|1
2763|None|None|1
2764|None|None|1
2765|None|None|1
2766|None|None|1
2767|None|None|1
2768|None|None|1
2769|None|None|1
2770|None|None|1
2771|None|None|1
2772|None|None|1
2775|Casket (hard)|Reward casket (hard)|0
2777|Casket (hard)|Reward casket (hard)|0
2779|Casket (hard)|Reward casket (hard)|0
2781|Casket (hard)|Reward casket (hard)|0
2784|Casket (hard)|Reward casket (hard)|0
2787|Casket (hard)|Reward casket (hard)|0
2789|Casket (hard)|Reward casket (hard)|0
2791|Casket (hard)|Reward casket (hard)|0
2795|Puzzle box (hard)|Puzzle box|0
2798|Puzzle box (hard)|Puzzle box|0
2800|Puzzle box (hard)|Puzzle box|0
2802|Casket (medium)|Reward casket (medium)|0
2804|Casket (medium)|Reward casket (medium)|0
2806|Casket (medium)|Reward casket (medium)|0
2808|Casket (medium)|Reward casket (medium)|0
2810|Casket (medium)|Reward casket (medium)|0
2812|Casket (medium)|Reward casket (medium)|0
2814|Casket (medium)|Reward casket (medium)|0
2816|Casket (medium)|Reward casket (medium)|0
2818|Casket (medium)|Reward casket (medium)|0
2820|Casket (medium)|Reward casket (medium)|0
2822|Casket (medium)|Reward casket (medium)|0
2824|Casket (medium)|Reward casket (medium)|0
2826|Casket (medium)|Reward casket (medium)|0
2828|Casket (medium)|Reward casket (medium)|0
2830|Casket (medium)|Reward casket (medium)|0
2832|Key (medium)|Key (Treasure Trails)|0
2834|Key (medium)|Key (Treasure Trails)|0
2836|Key (medium)|Key (Treasure Trails)|0
2838|Key (medium)|Key (Treasure Trails)|0
2840|Key (medium)|Key (Treasure Trails)|0
2842|Challenge scroll (medium)|Key (Treasure Trails)|0
2844|Challenge scroll (medium)|Key (Treasure Trails)|0
2846|Challenge scroll (medium)|Key (Treasure Trails)|0
2850|Challenge scroll (medium)|Key (Treasure Trails)|0
2852|Challenge scroll (medium)|Challenge scroll|0
2854|Challenge scroll (medium)|Challenge scroll|0
2872|Ogre bellows (3)|Ogre bellows|0
2873|Ogre bellows (2)|Ogre bellows|0
2874|Ogre bellows (1)|Ogre bellows|0
2885|Null|None|1
2950|Golden feather|Golden feather (Priest in Peril)|0
2967|Journal|Journal (Filliman Tarlock)|0
2978|Chompy bird hat|Chompy bird hat (ogre bowman)|0
2979|Chompy bird hat|Chompy bird hat (bowman)|0
2980|Chompy bird hat|Chompy bird hat (ogre yeoman)|0
2981|Chompy bird hat|Chompy bird hat (yeoman)|0
2982|Chompy bird hat|Chompy bird hat (ogre marksman)|0
2983|Chompy bird hat|Chompy bird hat (marksman)|0
2984|Chompy bird hat|Chompy bird hat (ogre woodsman)|0
2985|Chompy bird hat|Chompy bird hat (woodsman)|0
2986|Chompy bird hat|Chompy bird hat (ogre forester)|0
2987|Chompy bird hat|Chompy bird hat (forester)|0
2988|Chompy bird hat|Chompy bird hat (ogre bowmaster)|0
2989|Chompy bird hat|Chompy bird hat (bowmaster)|0
2990|Chompy bird hat|Chompy bird hat (ogre expert)|0
2991|Chompy bird hat|Chompy bird hat (expert)|0
2992|Chompy bird hat|Chompy bird hat (ogre dragon archer)|0
2993|Chompy bird hat|Chompy bird hat (dragon archer)|0
2994|Chompy bird hat|Chompy bird hat (expert ogre dragon archer)|0
2995|Chompy bird hat|Chompy bird hat (expert dragon archer)|0
3006|Firework|None|2
3007|Firework|None|2
3008|Energy potion(4)|Energy potion|0
3009|Energy potion(4)|Energy potion|0
3010|Energy potion(3)|Energy potion|0
3011|Energy potion(3)|Energy potion|0
3012|Energy potion(2)|Energy potion|0
3013|Energy potion(2)|Energy potion|0
3014|Energy potion(1)|Energy potion|0
3015|Energy potion(1)|Energy potion|0
3016|Super energy(4)|Super energy|0
3017|Super energy(4)|Super energy|0
3018|Super energy(3)|Super energy|0
3019|Super energy(3)|Super energy|0
3020|Super energy(2)|Super energy|0
3021|Super energy(2)|Super energy|0
3022|Super energy(1)|Super energy|0
3023|Super energy(1)|Super energy|0
3024|Super restore(4)|Super restore|0
3025|Super restore(4)|Super restore|0
3026|Super restore(3)|Super restore|0
3027|Super restore(3)|Super restore|0
3028|Super restore(2)|Super restore|0
3029|Super restore(2)|Super restore|0
3030|Super restore(1)|Super restore|0
3031|Super restore(1)|Super restore|0
3032|Agility potion(4)|Agility potion|0
3033|Agility potion(4)|Agility potion|0
3034|Agility potion(3)|Agility potion|0
3035|Agility potion(3)|Agility potion|0
3036|Agility potion(2)|Agility potion|0
3037|Agility potion(2)|Agility potion|0
3038|Agility potion(1)|Agility potion|0
3039|Agility potion(1)|Agility potion|0
3040|Magic potion(4)|Magic potion|0
3041|Magic potion(4)|Magic potion|0
3042|Magic potion(3)|Magic potion|0
3043|Magic potion(3)|Magic potion|0
3044|Magic potion(2)|Magic potion|0
3045|Magic potion(2)|Magic potion|0
3046|Magic potion(1)|Magic potion|0
3047|Magic potion(1)|Magic potion|0
3094|Black dart(p)|Black dart|0
3114|Certificate|Certificate (Death Plateau)|0
3135|Prison key|Prison key (Troll Stronghold)|0
3151|Null|None|1
3170|Bronze spear(kp)|Bronze spear|0
3171|Iron spear(kp)|Iron spear|0
3172|Steel spear(kp)|Steel spear|0
3173|Mithril spear(kp)|Mithril spear|0
3174|Adamant spear(kp)|Adamant spear|0
3175|Rune spear(kp)|Rune spear|0
3176|Dragon spear(kp)|Dragon spear|0
3177|Left-handed banana|Left-handed banana|2
3178|Left-handed banana|Left-handed banana|2
3231|Symbol|None|2
3232|Symbol|None|2
3233|Symbol|None|2
3234|Symbol|None|2
